2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,20; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 933.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,21; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,22; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 931.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,23; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 930.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,24; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 929.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 928.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  2,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 927.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  3,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 926.0; Tile: ROAD
2019-10-23 19:46:27 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  4,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 925.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  5,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 924.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  6,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 923.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  7,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 922.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  8,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 921.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  9,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 920.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 10,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 919.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 11,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 918.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 12,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 917.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 13,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 916.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 14,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 915.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 15,25; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 914.0; Tile: ROAD
